p,A_ER
0.01,0.00026
0.02,0.000385
0.03,0.0007999999999999998
0.04,0.000825
0.05,0.001855
0.06,0.002895
0.07,0.00586
0.08,0.009505
0.09,0.011199999999999998
0.1,0.01678
0.11,0.038494999999999994
0.12,0.035805000000000003
0.13,0.062175
0.14,0.09426500000000002
0.15,0.12493000000000001
0.16,0.11670499999999998
0.17,0.22003999999999996
0.18,0.298055
0.19,0.3527550000000001
0.2,0.40343
0.21,0.418105
0.22,0.602055
0.23,0.634825
0.24,0.6507350000000001
0.25,0.7477600000000001
0.26,0.74319
0.27,0.711585
0.28,0.8234600000000001
0.29,0.89284
0.3,0.940165
0.31,0.9425799999999999
0.32,0.893505
0.33,0.9566250000000001
0.34,0.97514
0.35,0.9819350000000002
0.36,0.991595
0.37,0.99437
0.38,0.99484
0.39,0.9960800000000001
